a_LCA,a_IA,a_PCA,a_CT,a_TA,Ps,F0,SPL,ACFL,PC,CPP,PC_loc
0.886330486817611,0.886330486817611,0,0.551092623541949,0.170367051763848,919.155595589664,147.999471430459,123.154923938559,1794.70762279425,1663.49587073001,32.5631864628256,0.526315789473684
0.538306005979792,0.538306005979792,0,0.871109133620905,0.535977225736311,625.166208478865,165.999407144974,105.708610104608,364.678980394708,0,5.40140106606894,0
0.607610489903096,0.607610489903096,0,0.662279550525841,0.223274698834365,859.309286212186,145.999478573291,126.15523388943,1819.0085364874,1423.46138919098,28.4931637827242,0.315789473684211
0.55818006393132,0.55818006393132,0,0.111215787097844,0.874422175207919,727.567579852426,135.999514287449,111.115310985177,826.070949401728,603.19951612734,13.541502677668,1
0.990936048623977,0.990936048623977,0,0.975073216192429,0.40149498785943,985.322805313055,149.999464287628,123.503620789239,1784.91152696658,1585.18374582803,22.8168137039059,0.526315789473684
0.555906257689038,0.555906257689038,0,0.320289751601226,0.997035544959884,864.784036510044,145.999478573291,114.764381500393,1054.22110971499,698.68351715289,10.0712233240249,1
0.704865277732918,0.704865277732918,0,0.211268502946523,0.953395206160619,809.319180919119,137.999507144617,113.264400337491,975.411209481119,880.467912953486,13.2187658061936,1
0.968915870035262,0.968915870035262,0,0.443394004738745,0.0845396000326122,693.796811813748,157.999435716301,114.565636306256,1022.66937570067,301.260924434054,20.2603576365289,1
0.879055375420081,0.879055375420081,0,0.430752685618981,0.600314009193097,816.808098302352,147.999471430459,115.074820310206,1079.48189718793,745.069928411537,25.1197684809708,1
0.859521360413407,0.859521360413407,0,0.538764727490197,0.760280716490156,984.304127113929,139.999500001786,124.430692080945,1718.87914949695,1432.19348115805,31.6168565521676,0.473684210526316
0.784034710199387,0.784034710199387,0,0.393818558905479,0.102203089336377,887.19611375861,143.999485716122,127.296861300185,1916.20974330375,1440.8711815584,26.5863289033406,0.631578947368421
0.575267016127471,0.575267016127471,0,0.260241761378883,0.699815006220498,832.967407239478,141.999492858954,115.588498716972,1175.99325441258,472.13714211383,19.2804940985883,1
0.933510104646853,0.933510104646853,0,0.346231769792842,0.77930431007572,671.204845786622,145.999478573291,108.486112280455,585.833966044585,823.558394988579,15.2976694637934,1
0.764284465563357,0.764284465563357,0,0.356872128408042,0.257358000792994,882.518354118846,139.999500001786,125.642884747669,1753.58357178669,1570.89693058954,23.4892840598699,0.526315789473684
0.882828830170447,0.882828830170447,0,0.595450785507117,0.453842904464403,988.086839201654,139.999500001786,126.938602486182,1845.79054406161,1655.78571832576,24.0015804849007,0.526315789473684
0.913185956054159,0.913185956054159,0,0.199999868662876,0.376238171794696,772.659619614822,133.999521430281,118.516867776063,1384.2711057081,1155.93615427544,26.9566944832182,0.526315789473684
0.95572368851345,0.95572368851345,0,0.964202042085849,0.54859384881105,735.97843980184,165.999407144974,111.446323122189,705.972528286333,717.149877968577,10.1543169469271,1
0.942393900017885,0.942393900017885,0,0.701154644444023,0.983458169883139,979.841409418692,153.999450001964,116.189465282134,1255.38312188405,935.400031619095,20.0594400349558,1
0.908152375857736,0.908152375857736,0,0.478743399998422,0.588162953079039,690.835654466332,151.999457144796,110.640851173189,711.197541388622,731.397528915112,15.5139628837132,1
0.724027267515858,0.724027267515858,0,0.549189616152239,0.629200275481835,812.776273699521,155.999442859133,113.946175056085,987.818557008188,740.548280088132,11.9079817944979,1
0.772458503278736,0.772458503278736,0,0.534588817815158,0.259939243841495,667.077317072626,159.999428573469,112.379557176036,808.760131359672,363.027254244562,13.3187241031012,1
0.865829334124122,0.865829334124122,0,0.64958411660421,0.78576542197245,678.18538285981,157.999435716301,78.5428388735721,20.3318362451961,860.59805123847,9.61665198654335,1
0.696545512197411,0.696545512197411,0,0.229409114341078,0.973452991586921,992.119738943626,125.999550001607,119.344320035257,1750.5734515253,1705.44231654687,47.1265782526932,0.578947368421053
0.997199567071994,0.997199567071994,0,0.641161205669123,0.785508577018391,614.076820233634,393.998592862168,-42.5207847056177,1.64502966912457e-05,829.51994469158,12.8454636613847,1
0.659129720494248,0.659129720494248,0,0.0886088667618811,0.602045714778187,764.928174913712,133.999521430281,113.880820059005,1142.06803009289,564.810134632511,32.7303018778891,1
0.83930253160003,0.83930253160003,0,0.350090215474098,0.00235017198862209,999.099171099507,147.999471430459,126.740827257504,2305.02873089734,1621.39752018491,29.1739516568122,0.315789473684211
0.97089193138019,0.97089193138019,0,0.582644845271635,0.374936822954357,756.635119475674,155.999442859133,113.983951613119,976.184945280476,585.867142426876,12.1227354064598,1
0.781012533670422,0.781012533670422,0,0.97910176775037,0.632900790952783,913.720082426409,165.999407144974,115.867280295598,1128.50456136799,805.281454250458,18.7053610493082,1
0.969487368439541,0.969487368439541,0,0.136141029145439,0.654944423063719,899.728350674201,121.99956428727,119.156704546638,1664.4295355016,1602.7372332187,25.4873379996831,0.526315789473684
0.887810221419192,0.887810221419192,0,0.0856928159774406,0.32917812589134,816.174544424341,127.999542858775,118.732533207314,1598.91746621249,1332.5742058977,30.3677961611467,0.526315789473684
0.785801314988183,0.785801314988183,0,0.877970975480686,0.0356722830989433,604.745598745862,167.999400002143,113.045527049377,809.959721713957,0,10.8339533189755,0
0.598011899999908,0.598011899999908,0,0.362909223567664,0.147588126631074,665.276687748641,141.999492858954,120.432109493257,1417.78150517242,788.033129163117,24.5707141199205,0.421052631578947
0.530933221649031,0.530933221649031,0,0.35851489096447,0.986168566381826,893.31511388251,147.999471430459,115.200733049333,1119.72647410581,649.405286320718,21.5710998570603,1
0.866071978672424,0.866071978672424,0,0.798681996326226,0.816722929108625,858.801291125645,159.999428573469,113.847822233027,949.88183671457,881.675502581604,11.2400183107812,1
0.551520099391569,0.551520099391569,0,0.526225523834338,0.277394541638318,885.854744648852,143.999485716122,127.036229955591,1966.11364768138,1472.63065845971,27.8929297403424,0.368421052631579
0.614240695355103,0.614240695355103,0,0.136453814794762,0.258436855063221,687.979505915055,131.999528573112,117.479467972396,1422.37194766479,993.114900133404,26.25298486798,0.473684210526316
0.769230590343486,0.769230590343486,0,0.640154809578915,0.56133053656942,984.685149849902,143.999485716122,127.421611408786,1769.67025082098,1530.74179075338,27.510354111473,0.526315789473684
0.88142767381246,0.88142767381246,0,0.060805953377294,0.607979751261512,673.885447675268,131.999528573112,110.922164906866,845.623558451593,730.845984621064,24.8474389513693,1
0.747234085914716,0.747234085914716,0,0.250317232118892,0.432452954182292,802.509427958921,141.999492858954,116.51719936816,1261.83471969938,567.591624397442,25.030330155744,1
0.52710276669848,0.52710276669848,0,0.179609609126659,0.440384712931046,743.847589211469,129.999535715944,117.710201286122,1462.53996657291,1259.34898730919,24.262085738142,0.526315789473684
0.857628701911815,0.857628701911815,0,0.82718309804327,0.835304336689676,906.758217244066,161.999421430638,114.941821537395,1065.31413595403,895.129452163057,13.9491841434296,1
0.926955693455428,0.926955693455428,0,0.825842782333412,0.857988733210158,683.444907216024,403.99855714801,-42.9358988340582,1.49753488147379e-05,883.583798280834,11.8082262189871,1
0.929266466300817,0.929266466300817,0,0.0307632984965477,0.0459864081706304,815.132952344252,139.999500001786,124.099185620927,1814.24792502629,1104.83352662964,29.4602952332279,0.631578947368421
0.744714358244879,0.744714358244879,0,0.358818303089021,0.314146462079009,756.535327943642,151.999457144796,114.987406573114,1079.84373304588,374.197460433454,21.9409114751533,1
0.616602084931117,0.616602084931117,0,0.646166742928045,0.153740664392665,736.511826033839,147.999471430459,121.618815451279,1560.0217930387,1111.93625708682,25.9174585337121,0.368421052631579
0.926196193209302,0.926196193209302,0,0.913364656468247,0.992530721358568,732.729505047871,419.998500005357,-40.8363131136731,1.62916837681028e-05,951.002265157739,11.3703700473087,1
0.529689269202005,0.529689269202005,0,0.0486924782504353,0.34690770727471,673.604900176471,127.999542858775,116.308233080102,1390.58668472474,990.165752277911,30.5375368371464,0.526315789473684
0.950460082194766,0.950460082194766,0,0.577075884999243,0.22801617770162,603.870344573029,159.999428573469,110.273912025428,643.873577250934,460.301472450998,19.1029895865194,1
0.822940179754182,0.822940179754182,0,0.723875632787032,0.312177948321404,832.239104178478,161.999421430638,115.873357252812,1137.40073789632,532.390036748012,16.2596480192419,1
0.999724188938667,0.999724188938667,0,0.0481995814964831,0.279753659287306,746.372917219766,127.999542858775,117.621714330181,1440.29962022589,1213.77857423778,28.0958295617613,0.473684210526316
