a_LCA,a_IA,a_PCA,a_CT,a_TA,Ps,F0,SPL
0.908152375857736,0.908152375857736,0,0.478743399998422,0.588162953079039,690.835654466332,151.999457144796,110.640851173189
0.724027267515858,0.724027267515858,0,0.549189616152239,0.629200275481835,812.776273699521,155.999442859133,113.946175056085
0.772458503278736,0.772458503278736,0,0.534588817815158,0.259939243841495,667.077317072626,159.999428573469,112.379557176036
0.865829334124122,0.865829334124122,0,0.64958411660421,0.78576542197245,678.18538285981,157.999435716301,78.5428388737569
0.696545512197411,0.696545512197411,0,0.229409114341078,0.973452991586921,992.119738943626,125.999550001607,119.344245811878
0.997199567071994,0.997199567071994,0,0.641161205669123,0.785508577018391,614.076820233634,393.998592862168,-42.5207422511658
0.659129720494248,0.659129720494248,0,0.0886088667618811,0.602045714778187,764.928174913712,133.999521430281,113.880820059005
0.83930253160003,0.83930253160003,0,0.350090215474098,0.00235017198862209,999.099171099507,147.999471430459,126.740827257504
0.97089193138019,0.97089193138019,0,0.582644845271635,0.374936822954357,756.635119475674,155.999442859133,113.983951613119
0.781012533670422,0.781012533670422,0,0.97910176775037,0.632900790952783,913.720082426409,165.999407144974,115.867280295598
0.969487368439541,0.969487368439541,0,0.136141029145439,0.654944423063719,899.728350674201,121.99956428727,119.156704546645
0.887810221419192,0.887810221419192,0,0.0856928159774406,0.32917812589134,816.174544424341,127.999542858775,118.732533207314
0.785801314988183,0.785801314988183,0,0.877970975480686,0.0356722830989433,604.745598745862,167.999400002143,113.045527049377
0.598011899999908,0.598011899999908,0,0.362909223567664,0.147588126631074,665.276687748641,141.999492858954,120.432109493257
0.530933221649031,0.530933221649031,0,0.35851489096447,0.986168566381826,893.31511388251,147.999471430459,115.200733049333
0.866071978672424,0.866071978672424,0,0.798681996326226,0.816722929108625,858.801291125645,159.999428573469,113.847822233027
0.551520099391569,0.551520099391569,0,0.526225523834338,0.277394541638318,885.854744648852,143.999485716122,127.036229955591
0.614240695355103,0.614240695355103,0,0.136453814794762,0.258436855063221,687.979505915055,131.999528573112,117.479467972396
0.769230590343486,0.769230590343486,0,0.640154809578915,0.56133053656942,984.685149849902,143.999485716122,127.421611407597
0.88142767381246,0.88142767381246,0,0.060805953377294,0.607979751261512,673.885447675268,131.999528573112,110.922164906867
0.747234085914716,0.747234085914716,0,0.250317232118892,0.432452954182292,802.509427958921,141.999492858954,116.51719936816
0.52710276669848,0.52710276669848,0,0.179609609126659,0.440384712931046,743.847589211469,129.999535715944,117.710201286122
0.857628701911815,0.857628701911815,0,0.82718309804327,0.835304336689676,906.758217244066,161.999421430638,114.941821537395
0.926955693455428,0.926955693455428,0,0.825842782333412,0.857988733210158,683.444907216024,403.99855714801,-42.9359180065051
0.929266466300817,0.929266466300817,0,0.0307632984965477,0.0459864081706304,815.132952344252,139.999500001786,124.099185620928
0.744714358244879,0.744714358244879,0,0.358818303089021,0.314146462079009,756.535327943642,151.999457144796,114.987406573114
0.616602084931117,0.616602084931117,0,0.646166742928045,0.153740664392665,736.511826033839,147.999471430459,121.618815451279
0.926196193209302,0.926196193209302,0,0.913364656468247,0.992530721358568,732.729505047871,419.998500005357,-40.8363319492615
0.529689269202005,0.529689269202005,0,0.0486924782504353,0.34690770727471,673.604900176471,127.999542858775,116.308233080102
0.950460082194766,0.950460082194766,0,0.577075884999243,0.22801617770162,603.870344573029,159.999428573469,110.273912025428
0.822940179754182,0.822940179754182,0,0.723875632787032,0.312177948321404,832.239104178478,161.999421430638,115.873357252812
0.999724188938667,0.999724188938667,0,0.0481995814964831,0.279753659287306,746.372917219766,127.999542858775,117.621714330181
0.678935147644107,0.678935147644107,0,0.386272542852883,0.695714594866376,892.523030528482,145.999478573291,116.395331267575
0.700223768953191,0.700223768953191,0,0.681286967220601,0.984820550567937,716.676228231451,419.998500005357,-39.508121129333
0.976609732134806,0.976609732134806,0,0.459010663256578,0.449014319060248,695.891991546899,151.999457144796,112.033527137659
0.891721292436789,0.891721292436789,0,0.839450314818758,0.457252702870658,768.521503846767,163.999414287806,113.354758157487
0.820702385441684,0.820702385441684,0,0.715190169090653,0.814344518775712,612.6044255883,397.998578576505,-43.461351280538
